order_id,customer_id,order_date,delivery_status,order_total,payment_method
1961864118,30065862,7/17/2024 8:34,On Time,3197.07,Cash
1549769649,9573071,5/28/2024 13:14,On Time,976.55,Cash
9185164487,45477575,9/23/2024 13:07,On Time,839.05,UPI
9644738826,88067569,11/24/2023 16:16,On Time,440.23,Card
5427684290,83298567,11/20/2023 5:00,On Time,2526.68,Cash
3265154092,43367112,3/18/2023 16:29,On Time,3161.43,UPI
4898355547,13284996,4/16/2023 18:50,On Time,956.4,Card
6568151549,88866835,3/31/2024 6:26,On Time,905.47,Cash
6006693867,24496983,7/13/2023 23:49,On Time,1371.17,Card
374186990,52215833,8/9/2023 1:17,Slightly Delayed,1601.19,Wallet
4455336265,43431724,8/30/2023 19:37,On Time,2362.33,UPI
3539286337,77559557,4/25/2023 20:32,On Time,1463.8,Wallet
9171116867,87107263,10/22/2023 11:15,Slightly Delayed,822.63,Card
5504941865,76512976,1/28/2024 2:39,Slightly Delayed,2287.68,Wallet
5868326481,37556526,3/15/2024 21:07,On Time,1962.35,Wallet
2137046916,12059049,2/3/2024 8:50,On Time,3373.96,UPI
8195544338,26199489,4/26/2023 4:03,Slightly Delayed,845.71,Wallet
2889700050,84848018,4/30/2024 16:22,On Time,2706.54,Wallet
65827885,47577193,7/27/2023 0:13,On Time,1132.98,Cash
4656471694,60728956,12/9/2023 8:08,Slightly Delayed,1525.5,Cash
6625178717,62068277,7/1/2023 4:24,Slightly Delayed,5718.09,Card
7169557514,84824280,3/21/2023 5:27,Slightly Delayed,2970.9,Card
2268306684,66742602,5/28/2024 14:59,On Time,2991.57,Wallet
6905293278,97259564,6/16/2024 10:23,Significantly Delayed,1404.68,Cash
1769493463,3292927,6/26/2024 7:13,On Time,2541.32,Wallet
5003387344,26592009,6/23/2024 10:53,On Time,2475.69,Wallet
2064484752,89995124,5/7/2024 22:42,On Time,1949.92,Wallet
964822979,88520326,7/13/2024 10:38,On Time,5804.23,Wallet
6037899648,22738465,3/27/2024 17:44,On Time,1231.03,Cash
9347571484,29562072,11/2/2024 17:15,Slightly Delayed,3138.06,Card
3286177534,10225164,6/24/2023 23:52,On Time,3612.26,Wallet
9073572548,97111069,5/2/2023 23:13,Significantly Delayed,1091.89,Card
8395583761,1989720,8/4/2024 23:35,On Time,410.62,UPI
6355378227,67092149,8/11/2023 16:52,On Time,5019.02,UPI
277376321,89784343,7/28/2024 4:25,On Time,3694.48,Wallet
8559748526,45868300,4/5/2023 18:07,On Time,1152.09,Wallet
1458051433,50760752,4/26/2024 9:14,On Time,1055.18,UPI
5838302640,96795047,5/12/2023 5:46,Slightly Delayed,3377.44,UPI
1380971977,16561710,6/2/2024 13:04,On Time,3117.74,Cash
1221099013,35156679,7/23/2023 10:45,On Time,4335.11,Wallet
6771166303,87718744,7/24/2023 4:21,Slightly Delayed,816.38,Wallet
7111337755,10524732,5/6/2023 5:52,On Time,1550.71,Cash
5562922993,62416456,12/6/2023 2:04,On Time,2292.64,Wallet
5630957897,69925688,6/18/2024 7:17,On Time,827.44,Wallet
1787380558,5140660,11/8/2023 17:24,On Time,2066.77,Cash
32613017,82594354,3/17/2023 0:20,On Time,2354.28,Card
2039041670,88324928,11/1/2024 9:45,Slightly Delayed,96.33,Wallet
210693801,71235336,8/21/2024 3:59,On Time,3561.22,UPI
8120002258,57833505,1/1/2024 0:05,On Time,1213.05,Card
2177917034,12402437,2/8/2024 20:03,Slightly Delayed,3134.8,Card
